type,freq,complaint_type,ASTORIA,BRONX,BROOKLYN,FLUSHING,JAMAICA,NEW YORK,STATEN ISLAND
heat/hot water,241430,heat/hot water,0.01406618895746179,0.3300749699705919,0.29992130224081515,0.011353187259246987,0.013983349210951415,0.23006668599594085,0.009443731102182827
street condition,124347,street condition,0.013422117139939042,0.09740484289930597,0.276854286794213,0.027857527724834536,0.027278502899145133,0.15368283915172862,0.13582153168150418
street light condition,98577,street light condition,0.015551294926808484,0.08038386236140276,0.19355427736693143,0.017894640737697434,0.02506669912859998,0.021292999381194395,0.06286456272761394
blocked driveway,95080,blocked driveway,0.035107278081615484,0.16415649978965083,0.3612852334875894,0.035832982751367266,0.0360748843079512,0.02850231384097602,0.02841817416912074
illegal parking,83961,illegal parking,0.017329474398828027,0.10940793940043592,0.36320434487440595,0.02222460428055883,0.018734888817427138,0.15860935434308787,0.06952037255392385
unsanitary condition,81394,unsanitary condition,0.009705875125930657,0.2879819151288793,0.3522126938103546,0.00852642700936187,0.01901860087967172,0.1911688822271912,0.02322038479494803
paint/plaster,69929,paint/plaster,0.008079623618241358,0.32043930272133164,0.34663730355074435,0.009838550529823107,0.014886527763874786,0.20562284602954425,0.014028514636273935
water system,69209,water system,0.016934213758326228,0.15843315175771938,0.27807077114248147,0.0201418890606713,0.03223569188978312,0.18035226632374401,0.08933809186666473
plumbing,60105,plumbing,0.010947508526744863,0.29247150819399387,0.3351634639381083,0.008501788536727393,0.02176191664586973,0.2158722236086848,0.022993095416354713
noise,54165,noise,0.02001292347456845,0.053540108926428506,0.2651527739315056,0.014123511492661313,0.008584879534754916,0.4789624296132189,0.028283947198375334
noise - street/sidewalk,48436,noise - street/sidewalk,0.011128086547196301,0.18001073581633495,0.26645470311338676,0.004996283755884053,0.007515071434470229,0.4289165083821951,0.01880832438681972
traffic signal condition,44229,traffic signal condition,0.018381604829410567,0.0392728752628366,0.2785276628456443,0.013995342422392547,0.02335571683736915,0.028284609645255376,0.03646928485835085
noise - commercial,42422,noise - commercial,0.04839470086275989,0.0637169393239357,0.3131158361227665,0.005185988402244119,0.01232850879260761,0.4264296827118005,0.01798595068596483
door/window,39695,door/window,0.008439350044086157,0.3091069404207079,0.3583826678422975,0.007557626905151782,0.01735734979216526,0.19309736742662803,0.018969643531930973
water leak,36149,water leak,0.008381974605106642,0.3026916373896927,0.37649727516667125,0.010705690337215414,0.01587872416940994,0.18965946499211597,0.01610003042961078
dirty conditions,35122,dirty conditions,0.015887477934058425,0.14002619440806333,0.32819884972381985,0.02448607710267069,0.03282842662718524,0.15221228859404362,0.08194294174591424
sewer,33628,sewer,0.012430117759010349,0.10271202569287499,0.27494944688949685,0.021291780658974663,0.06803853931247769,0.10235518020697038,0.11160342571666468
sanitation condition,31260,sanitation condition,0.015323096609085093,0.11305182341650671,0.36481126039667305,0.024504158669225846,0.041714651311580295,0.10569417786308381,0.08854766474728087
electric,30248,electric,0.010480031737635545,0.28434937847130387,0.3720245966675483,0.007107907960856916,0.023075905845014545,0.1676474477651415,0.021720444326897646
rodent,28454,rodent,0.012370844169536797,0.23110986153089197,0.3187601040275532,0.007239755394672102,0.023265621705208406,0.23901736135516974,0.0475152878329936
flooring/stairs,27007,flooring/stairs,0.007553597215536713,0.30040359906690856,0.3560928648128263,0.006035472284963157,0.01614396267634317,0.22023919724515867,0.020031843596104715
general construction/plumbing,26861,general construction/plumbing,0.016306168794907115,0.09314619708871598,0.3525557499720785,0.020959755779755035,0.02378913666654257,0.261047615502029,0.05029596813223633
building/use,25807,building/use,0.01685589181229899,0.11725500833107297,0.2938350060061224,0.04301158600379742,0.05018018367109699,0.07083349478823575,0.05947998605029643
broken muni meter,25428,broken muni meter,0.032837816580147866,0.09996853861884537,0.20493157149598867,0.043849299984269306,0.016635205285512034,0.4320040899795501,0.010303602328142205
