origin_city,destination_city,average_time
"Abilene, TX","Dallas, TX",59.84
"Adak Island, AK","Anchorage, AK",220.04
"Aguadilla, PR","New York, NY",200.63
"Aguadilla, PR","Newark, NJ",220.54
"Aguadilla, PR","Orlando, FL",143.21
"Albany, GA","Atlanta, GA",56.72
"Albany, NY","Atlanta, GA",157.16
"Albany, NY","BWI Airport, MD",71.3
"Albany, NY","Charlotte, NC",128.14
"Albany, NY","Chicago, IL",86.27
"Albany, NY","Cincinnati, OH",128.32
"Albany, NY","Cleveland, OH",94.46
"Albany, NY","Detroit, MI",114.65
"Albany, NY","Las Vegas, NV",149.19
"Albany, NY","Minneapolis, MN",117.0
"Albany, NY","New York, NY",78.67
"Albany, NY","Newark, NJ",76.92
"Albany, NY","Orlando, FL",175.72
"Albany, NY","Philadelphia, PA",85.12
"Albany, NY","Tampa, FL",186.86
"Albany, NY","Washington, DC",85.0
"Albuquerque, NM","Amarillo, TX",113.48
"Albuquerque, NM","Atlanta, GA",296.28
"Albuquerque, NM","Austin, TX",162.15
"Albuquerque, NM","BWI Airport, MD",334.78
"Albuquerque, NM","Chicago, IL",222.09
"Albuquerque, NM","Cincinnati, OH",289.12
"Albuquerque, NM","Cleveland, OH",302.0
"Albuquerque, NM","Dallas, TX",155.5
"Albuquerque, NM","Denver, CO",74.14
"Albuquerque, NM","El Paso, TX",50.04
"Albuquerque, NM","Houston, TX",183.8
"Albuquerque, NM","Kansas City, MO",165.22
"Albuquerque, NM","Las Vegas, NV",32.39
"Albuquerque, NM","Los Angeles, CA",60.97
"Albuquerque, NM","Lubbock, TX",113.2
"Albuquerque, NM","Midland, TX",117.92
"Albuquerque, NM","Minneapolis, MN",211.6
"Albuquerque, NM","Newark, NJ",358.86
"Albuquerque, NM","Oakland, CA",87.44
"Albuquerque, NM","Oklahoma City, OK",142.52
"Albuquerque, NM","Ontario, CA",52.54
"Albuquerque, NM","Orlando, FL",320.85
"Albuquerque, NM","Phoenix, AZ",36.59
"Albuquerque, NM","Portland, OR",110.82
"Albuquerque, NM","Sacramento, CA",98.74
"Albuquerque, NM","Saint Louis, MO",185.37
"Albuquerque, NM","Salt Lake City, UT",94.41
"Albuquerque, NM","San Antonio, TX",153.9
"Albuquerque, NM","San Diego, CA",47.9
"Albuquerque, NM","San Francisco, CA",97.22
"Albuquerque, NM","Seattle, WA",120.7
"Albuquerque, NM","Tampa, FL",308.88
"Albuquerque, NM","Tucson, AZ",25.64
"Albuquerque, NM","Tulsa, OK",153.2
"Albuquerque, NM","Washington, DC",325.79
"Alexandria, LA","Atlanta, GA",162.06
"Alexandria, LA","Dallas, TX",101.14
"Alexandria, LA","Houston, TX",69.96
"Allentown, PA","Atlanta, GA",131.95
"Allentown, PA","Birmingham, AL",76.0
"Allentown, PA","Charlotte, NC",101.29
"Allentown, PA","Chicago, IL",75.93
"Allentown, PA","Cincinnati, OH",108.5
"Allentown, PA","Cleveland, OH",79.32
"Allentown, PA","Detroit, MI",112.94
"Allentown, PA","New York, NY",57.75
"Allentown, PA","Philadelphia, PA",55.0
"Amarillo, TX","Albuquerque, NM",5.33
"Amarillo, TX","Dallas, TX",65.08
"Amarillo, TX","Denver, CO",11.28
"Amarillo, TX","Houston, TX",103.42
"Amarillo, TX","Las Vegas, NV",11.83
"Amarillo, TX","Tulsa, OK",56.0
"Anchorage, AK","Adak Island, AK",130.1
"Anchorage, AK","Bethel, AK",77.81
"Anchorage, AK","Chicago, IL",542.0
"Anchorage, AK","Cordova, AK",50.79
"Anchorage, AK","Deadhorse, AK",102.48
"Anchorage, AK","Denver, CO",432.67
"Anchorage, AK","Fairbanks, AK",57.47
"Anchorage, AK","Honolulu, HI",280.1
"Anchorage, AK","Juneau, AK",99.91
"Anchorage, AK","King Salmon, AK",62.11
"Anchorage, AK","Kodiak, AK",61.6
"Anchorage, AK","Kotzebue, AK",93.96
"Anchorage, AK","Las Vegas, NV",353.49
"Anchorage, AK","Los Angeles, CA",365.8
"Anchorage, AK","Minneapolis, MN",498.47
"Anchorage, AK","Nome, AK",95.0
"Anchorage, AK","Phoenix, AZ",406.71
"Anchorage, AK","Portland, OR",261.15
"Anchorage, AK","Salt Lake City, UT",381.74
"Anchorage, AK","San Francisco, CA",338.62
"Anchorage, AK","Seattle, WA",253.91
"Appleton, WI","Atlanta, GA",194.88
"Appleton, WI","Chicago, IL",62.24
"Appleton, WI","Cincinnati, OH",151.17
"Appleton, WI","Des Moines, IA",75.0
"Appleton, WI","Detroit, MI",144.88
"Appleton, WI","Milwaukee, WI",40.47
"Appleton, WI","Minneapolis, MN",77.62
"Arcata/Eureka, CA","Crescent City, CA",36.0
"Arcata/Eureka, CA","Sacramento, CA",59.05
"Arcata/Eureka, CA","Salt Lake City, UT",161.35
"Arcata/Eureka, CA","San Francisco, CA",79.6
"Asheville, NC","Atlanta, GA",67.64
"Asheville, NC","Cincinnati, OH",67.5
"Asheville, NC","Detroit, MI",105.65
"Asheville, NC","Houston, TX",92.3
"Asheville, NC","Minneapolis, MN",99.24
"Asheville, NC","Newark, NJ",122.51
"Asheville, NC","Orlando, FL",107.14
"Aspen, CO","Atlanta, GA",320.0
"Aspen, CO","Chicago, IL",222.21
"Aspen, CO","Denver, CO",54.83
"Aspen, CO","Los Angeles, CA",74.93
"Aspen, CO","Phoenix, AZ",106.46
"Aspen, CO","Salt Lake City, UT",77.44
"Aspen, CO","San Francisco, CA",84.29
"Atlanta, GA","Albany, GA",54.35
"Atlanta, GA","Albany, NY",134.25
"Atlanta, GA","Albuquerque, NM",92.58
"Atlanta, GA","Alexandria, LA",40.79
"Atlanta, GA","Allentown, PA",115.33
"Atlanta, GA","Anchorage, AK",208.77
"Atlanta, GA","Appleton, WI",71.21
"Atlanta, GA","Asheville, NC",58.57
"Atlanta, GA","Aspen, CO",93.5
"Atlanta, GA","Augusta, GA",56.42
"Atlanta, GA","Austin, TX",89.46
"Atlanta, GA","Avoca, PA",119.56
"Atlanta, GA","BWI Airport, MD",107.69
"Atlanta, GA","Bangor, ME",159.11
"Atlanta, GA","Baton Rouge, LA",35.81
"Atlanta, GA","Birmingham, AL",13.77
"Atlanta, GA","Bloomington, IL",43.37
"Atlanta, GA","Blountville, TN",68.07
"Atlanta, GA","Boise, ID",161.8
"Atlanta, GA","Boston, MA",151.39
"Atlanta, GA","Bozeman, MT",141.83
"Atlanta, GA","Brunswick, GA",67.5
"Atlanta, GA","Buffalo, NY",118.23
"Atlanta, GA","Cedar Rapids, IA",66.51
"Atlanta, GA","Charleston, SC",70.23
"Atlanta, GA","Charleston, WV",77.75
"Atlanta, GA","Charlotte Amalie, VI",237.45
"Atlanta, GA","Charlotte, NC",76.48
"Atlanta, GA","Charlottesville, VA",88.03
"Atlanta, GA","Chattanooga, TN",48.92
"Atlanta, GA","Chicago, IL",68.87
"Atlanta, GA","Christiansted, VI",240.39
"Atlanta, GA","Cincinnati, OH",88.3
"Atlanta, GA","Cleveland, OH",106.86
"Atlanta, GA","Colorado Springs, CO",76.62
"Atlanta, GA","Columbia, SC",60.02
"Atlanta, GA","Columbus, GA",46.55
"Atlanta, GA","Columbus, MS",11.01
"Atlanta, GA","Columbus, OH",92.47
"Atlanta, GA","Corpus Christi, TX",84.33
"Atlanta, GA","Dallas, TX",86.05
"Atlanta, GA","Dayton, OH",90.11
"Atlanta, GA","Daytona Beach, FL",78.41
"Atlanta, GA","Denver, CO",83.26
"Atlanta, GA","Des Moines, IA",73.5
"Atlanta, GA","Detroit, MI",117.66
"Atlanta, GA","Dothan, AL",14.95
"Atlanta, GA","Eagle, CO",113.61
"Atlanta, GA","Egg Harbor Township, NJ",113.43
"Atlanta, GA","El Paso, TX",97.91
"Atlanta, GA","Evansville, IN",18.74
"Atlanta, GA","Fayetteville / Springdale, AR",53.86
"Atlanta, GA","Fayetteville, NC",74.75
"Atlanta, GA","Flint, MI",112.63
"Atlanta, GA","Florence, SC",65.83
"Atlanta, GA","Fort Hood / Killeen, TX",85.35
"Atlanta, GA","Fort Lauderdale, FL",111.39
"Atlanta, GA","Fort Myers, FL",99.01
"Atlanta, GA","Fort Smith, AR",52.41
"Atlanta, GA","Fort Wayne, IN",99.16
"Atlanta, GA","Gainesville, FL",81.82
"Atlanta, GA","Grand Rapids, MI",113.52
"Atlanta, GA","Green Bay, WI",69.32
"Atlanta, GA","Greensboro, NC",75.52
"Atlanta, GA","Greenville, SC",55.47
"Atlanta, GA","Gulfport, MS",23.33
"Atlanta, GA","Harrisburg, PA",108.97
"Atlanta, GA","Hayden, CO",106.96
"Atlanta, GA","Honolulu, HI",262.9
"Atlanta, GA","Houston, TX",77.97
"Atlanta, GA","Huntsville, AL",12.51
"Atlanta, GA","Indianapolis, IN",95.1
"Atlanta, GA","Islip, NY",130.16
"Atlanta, GA","Jackson, MS",22.57
"Atlanta, GA","Jackson, WY",123.7
"Atlanta, GA","Jacksonville, FL",67.43
"Atlanta, GA","Jacksonville, NC",82.64
"Atlanta, GA","Kansas City, MO",73.26
"Atlanta, GA","Key West, FL",109.27
"Atlanta, GA","Knoxville, TN",52.59
"Atlanta, GA","Lafayette, LA",44.65
"Atlanta, GA","Las Vegas, NV",95.93
"Atlanta, GA","Lawton, OK",85.38
"Atlanta, GA","Lewisburg, WV",81.57
"Atlanta, GA","Lexington, KY",75.33
"Atlanta, GA","Little Rock, AR",36.75
"Atlanta, GA","Los Angeles, CA",118.35
"Atlanta, GA","Louisville, KY",80.14
"Atlanta, GA","Lynchburg, VA",81.31
"Atlanta, GA","Macon, GA",45.98
"Atlanta, GA","Madison, WI",63.39
"Atlanta, GA","Manchester, NH",146.18
"Atlanta, GA","Mcallen, TX",101.8
"Atlanta, GA","Melbourne, FL",88.74
"Atlanta, GA","Memphis, TN",25.27
"Atlanta, GA","Meridian, MS",12.33
"Atlanta, GA","Miami, FL",112.0
"Atlanta, GA","Milwaukee, WI",61.3
"Atlanta, GA","Minneapolis, MN",99.91
"Atlanta, GA","Mobile, AL",16.71
"Atlanta, GA","Moline, IL",56.53
"Atlanta, GA","Monroe, LA",33.97
"Atlanta, GA","Montgomery, AL",11.55
"Atlanta, GA","Montrose, CO",115.0
"Atlanta, GA","Myrtle Beach, SC",94.52
"Atlanta, GA","Nashville, TN",11.45
"Atlanta, GA","New Bern, NC",85.43
"Atlanta, GA","New Orleans, LA",34.55
"Atlanta, GA","New York, NY",139.94
"Atlanta, GA","Newark, NJ",141.75
"Atlanta, GA","Newburgh, NY",137.94
"Atlanta, GA","Newport News, VA",94.64
"Atlanta, GA","Norfolk, VA",95.37
"Atlanta, GA","North Canton, OH",96.3
"Atlanta, GA","Oakland, CA",142.89
"Atlanta, GA","Oklahoma City, OK",77.22
"Atlanta, GA","Omaha, NE",86.19
"Atlanta, GA","Ontario, CA",105.28
"Atlanta, GA","Orange County, CA",112.62
"Atlanta, GA","Orlando, FL",88.95
"Atlanta, GA","Panama City, FL",22.29
"Atlanta, GA","Pensacola, FL",13.51
"Atlanta, GA","Peoria, IL",46.4
"Atlanta, GA","Philadelphia, PA",125.35
"Atlanta, GA","Phoenix, AZ",98.51
"Atlanta, GA","Pittsburgh, PA",100.65
"Atlanta, GA","Portland, ME",150.62
"Atlanta, GA","Portland, OR",137.35
"Atlanta, GA","Providence, RI",138.74
"Atlanta, GA","Rdu Airport, NC",81.31
"Atlanta, GA","Reno, NV",118.67
"Atlanta, GA","Richmond, VA",91.45
"Atlanta, GA","Roanoke, VA",82.22
"Atlanta, GA","Rochester, NY",120.57
"Atlanta, GA","Sacramento, CA",132.15
"Atlanta, GA","Saint Louis, MO",43.01
"Atlanta, GA","Salt Lake City, UT",130.53
"Atlanta, GA","San Antonio, TX",94.56
"Atlanta, GA","San Diego, CA",107.32
"Atlanta, GA","San Francisco, CA",144.21
"Atlanta, GA","San Jose, CA",140.98
"Atlanta, GA","San Juan, PR",236.44
"Atlanta, GA","Sarasota, FL",89.67
"Atlanta, GA","Savannah, GA",63.42
"Atlanta, GA","Seattle, WA",144.44
"Atlanta, GA","Shreveport, LA",49.37
"Atlanta, GA","Sioux Falls, SD",101.1
"Atlanta, GA","South Bend, IN",107.56
"Atlanta, GA","South Burlington, VT",139.71
"Atlanta, GA","Springfield, MO",54.03
"Atlanta, GA","Syracuse, NY",125.77
"Atlanta, GA","Tallahassee, FL",64.81
"Atlanta, GA","Tampa, FL",86.49
"Atlanta, GA","Toledo, OH",97.29
"Atlanta, GA","Tucson, AZ",86.39
"Atlanta, GA","Tulsa, OK",68.23
"Atlanta, GA","Tupelo, MS",8.0
"Atlanta, GA","Valdosta, GA",63.02
"Atlanta, GA","Valparaiso, FL",17.73
"Atlanta, GA","Washington, DC",104.09
"Atlanta, GA","West Palm Beach, FL",103.31
"Atlanta, GA","White Plains, NY",138.92
"Atlanta, GA","Wichita, KS",81.14
"Atlanta, GA","Wilmington, NC",79.36
"Atlanta, GA","Windsor Locks, CT",138.32
"Augusta, GA","Atlanta, GA",62.74
"Augusta, GA","Charlotte, NC",63.2
"Augusta, GA","New York, NY",139.0
"Austin, TX","Albuquerque, NM",54.21
"Austin, TX","Atlanta, GA",190.91
"Austin, TX","BWI Airport, MD",236.62
"Austin, TX","Boston, MA",285.15
"Austin, TX","Charlotte, NC",218.12
"Austin, TX","Chicago, IL",157.48
"Austin, TX","Cincinnati, OH",209.73
"Austin, TX","Cleveland, OH",229.04
"Austin, TX","Dallas, TX",58.4
"Austin, TX","Denver, CO",71.58
"Austin, TX","Des Moines, IA",121.0
"Austin, TX","El Paso, TX",31.4
