Starting_City,Ending_City,Average_Travel_Time
"Abilene, TX","Adak Island, AK",80.38782891
"Abilene, TX","Aguadilla, PR",43.40240827
"Abilene, TX","Albany, GA",19.51217308
"Abilene, TX","Albany, NY",29.86696852
"Abilene, TX","Albuquerque, NM",12.40934963
"Abilene, TX","Alexandria, LA",11.21522606
"Abilene, TX","Allentown, PA",32.60400481
"Abilene, TX","Amarillo, TX",11.46147978
"Abilene, TX","Anchorage, AK",60.95548246
"Abilene, TX","Appleton, WI",21.2766541
"Abilene, TX","Arcata/Eureka, CA",33.88541505
"Abilene, TX","Asheville, NC",18.40495687
"Abilene, TX","Aspen, CO",10.90219241
"Abilene, TX","Atlanta, GA",22.30439612
"Abilene, TX","Augusta, GA",26.74331574
"Abilene, TX","Austin, TX",6.993730553
"Abilene, TX","Avoca, PA",33.5560074
"Abilene, TX","BWI Airport, MD",25.98751802
"Abilene, TX","Bakersfield, CA",24.6091755
"Abilene, TX","Bangor, ME",43.25083904
"Abilene, TX","Barrow, AK",78.06368406
"Abilene, TX","Baton Rouge, LA",16.73653915
"Abilene, TX","Beaumont / Port Arthur, TX",8.172787839
"Abilene, TX","Bellingham, WA",38.11994082
"Abilene, TX","Bemidji, MN",18.82712346
"Abilene, TX","Bethel, AK",72.32386325
"Abilene, TX","Billings, MT",19.06171029
"Abilene, TX","Binghamton, NY",35.64727852
"Abilene, TX","Birmingham, AL",22.97954014
"Abilene, TX","Bismarck, ND",18.40220741
"Abilene, TX","Bloomington, IL",23.45276344
"Abilene, TX","Blountville, TN",19.83786396
"Abilene, TX","Boise, ID",29.94975681
"Abilene, TX","Boston, MA",34.3548526
"Abilene, TX","Bozeman, MT",21.61320792
"Abilene, TX","Brownsville, TX",15.88462829
"Abilene, TX","Brunswick, GA",27.25199965
"Abilene, TX","Buffalo, NY",24.44685991
"Abilene, TX","Burbank, CA",27.76211561
"Abilene, TX","Butte, MT",28.64576168
"Abilene, TX","Casper, WY",21.49764396
"Abilene, TX","Cedar City, UT",19.42177865
"Abilene, TX","Cedar Rapids, IA",15.38063665
"Abilene, TX","Champaign, IL",21.71979894
"Abilene, TX","Charleston, SC",21.64743473
"Abilene, TX","Charleston, WV",28.04586166
"Abilene, TX","Charlotte Amalie, VI",39.45344452
"Abilene, TX","Charlotte, NC",27.94720487
"Abilene, TX","Charlottesville, VA",28.98804979
"Abilene, TX","Chattanooga, TN",24.71396557
"Abilene, TX","Chicago, IL",17.17223593
"Abilene, TX","Chico, CA",24.3326324
"Abilene, TX","Christiansted, VI",45.85782271
"Abilene, TX","Cincinnati, OH",23.58028304
"Abilene, TX","Cleveland, OH",24.97474196
"Abilene, TX","Cody, WY",18.2936532
"Abilene, TX","College Station, TX",10.78576274
"Abilene, TX","Colorado Springs, CO",10.12855086
"Abilene, TX","Columbia, SC",26.62510473
"Abilene, TX","Columbus, GA",24.74341397
"Abilene, TX","Columbus, MS",16.13909321
"Abilene, TX","Columbus, OH",27.42450361
"Abilene, TX","Cordova, AK",56.7193239
"Abilene, TX","Corpus Christi, TX",13.12775536
"Abilene, TX","Crescent City, CA",34.28126742
"Abilene, TX","Dallas, TX",10.86348542
"Abilene, TX","Dayton, OH",26.18154547
"Abilene, TX","Daytona Beach, FL",21.90209942
"Abilene, TX","Deadhorse, AK",70.70409058
"Abilene, TX","Denver, CO",9.961605407
"Abilene, TX","Des Moines, IA",19.93139285
"Abilene, TX","Detroit, MI",22.04792255
"Abilene, TX","Dillingham, AK",70.57039998
"Abilene, TX","Dothan, AL",21.2739471
"Abilene, TX","Dubuque, IA",15.42917546
"Abilene, TX","Duluth, MN",20.25795223
"Abilene, TX","Durango, CO",13.36080025
"Abilene, TX","Eagle, CO",14.22974966
