movie_name,cast_count
The War of the Worlds,72
Star Wars: Episode III - Revenge of the Sith 3D,66
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",66
Star Wars: Episode VI - Return of the Jedi,65
This Means War,64
Warrior,62
Hart's War,59
War and Peace,58
The Warriors,57
In Love and War,56
Hanna's War,56
War Horse,53
"War, Inc.",50
Oh! What a Lovely War,50
5 Days Of War,50
War (Rogue Assassin),49
WarGames (War Games),45
The Dogs of War,44
In Old Oklahoma (War of the Wildcats),44
Casualties of War,43
Star Wars: The Clone Wars,43
On the Fiddle (Operation Snafu) (Operation War Head),43
The Milagro Beanfield War,42
The War of the Roses,42
War of the Buttons,42
Star Wars: Episode V - The Empire Strikes Back,41
Johnson County War,40
The War Within (Over the Mountains),37
The Fourth War,37
I Was a Male War Bride,36
"Der Mann, der Sherlock Holmes war (The Man Who Was Sherlock Holmes)(Two Merry Adventurers)",36
American Drug War: The Last White Hope,36
Star Wars: Episode II - Attack of the Clones 3D,35
Suppose They Gave a War and Nobody Came?,34
Fighting for Freedom: Revolution & Civil War,34
The Invisible War,34
"What Did You Do in the War, Daddy?",32
How I Won the War,31
La Guerre Est Finie (The War is Over),31
Warlock,30
The Looking Glass War,29
Outfoxed - Rupert Murdoch's War on Journalism,29
The War,28
Going Upriver - The Long War of John Kerry,28
Uncovered: The Whole Truth About the War In Iraq,28
Witness in the War Zone,28
A Nightmare on Elm Street 3 - Dream Warriors,27
Talvisota (Winter War),27
DaVinci's War,26
Peaceful Warrior,25
Harlan County War,25
Prisoner of War,25
Lawnmower Man 2 - Jobe's War (Lawnmower Man 2: Beyond Cyberspace),24
The War Wagon,24
The Warui yatsu hodo yoku nemuru (The Bad Sleep Well),24
War of the Colossal Beast (Revenge of the Colossal Man)(The Terror Strikes),24
War & Peace,24
Bride Wars,24
97 goo waak jai jin mo bat sing (97 Wise Guys No War Cannot Be Won)(Young and Dangerous 4),23
In Love and War,23
Star Wars: Episode I - The Phantom Menace,22
The War Lover,22
Charlie Wilson's War,22
War Requiem,22
Mad Max 2: The Road Warrior,21
I Shot Andy Warhol,21
Harry's War,21
Mob War,21
The War of the Misses (La Guerre des miss),21
The War Between Men and Women,21
All This and World War II,21
Life During Wartime,20
The Ward,20
The Private War of Major Benson,20
Warriors of the Rainbow: Seediq Bale,20
Once Were Warriors,19
At War with the Army,19
War Drums,19
The 13th Warrior,18
"Troma's War (1,000 Ways to Die)",18
Record of Lodoss War,18
Trapper County War,18
Latino: America's Secret War in Nicaragua,18
Declaration of War,18
War of the Worlds,17
War Party (War Game),17
The Secret War of Harry Frigg,17
The Moonshine War,17
Anzacs - The War Down Under,17
Lord of War,16
Ong-Bak (Ong Bak: Muay Thai Warrior),16
Two Men Went to War,16
How the War Started on My Island,16
Japanese War Bride,16
Men in War,16
Urgh! A Music War,16
Path to War,16
"Chips, the War Dog",16
Fortunes of War,16
Horrors of War,16
La Grande Guerra (The Great War),16
War Crimes,16
To End All Wars,15
Men of War,15
Rush to War,15
Wendy Wu: Homecoming Warrior,15
Tajja (The War of Flower) (Tazza: The High Rollers),15
Furankenshutain no kaiju: Sanda tai Gaira (The War of the Gargantuas),15
Fung wan II (The Storm Riders 2) (Storm Warriors),15
Funny Dirty Little War,15
"War Eagle, Arkansas",15
Gordon's War,15
I Cover the War,15
Kagemusha (Shadow Warrior) (The Double),14
The Beast (The Beast of War),14
Voyna i Mir (War and Peace),14
Empire of Dreams: The Story of the Star Wars Trilogy,14
War Arrow,14
Max Manus: Man of War,14
Winter in Wartime,14
Lolly-Madonna XXX (The Lolly-Madonna War),14
Disco and Atomic War (Disko ja tuumasoda),14
Immortals,14
Madso's War,14
War of the Buttons,14
Yokai daisenso (The Great Yokai War),13
Warlords of Atlantis (Warlords of the Deep),13
The Chocolate War,13
Beyond the Time Barrier (The War of 1995),13
In the Face of Evil: Reagan's War in Word and Deed,13
Rainbow War,13
Aftermath: The Remnants of War,13
There Was No War in '72,13
Varian's War,12
Kickboxer 3: The Art of War,12
Musa (The Warriors) (Musa the Warrior),12
Mrs. Caldicot's Cabbage War,12
La Guerre des Boutons (War of Buttons),12
One Man's War,12
My Brother's War,12
Without Warning (It Came Without Warning) (Alien Encounters),12
War Wolves,12
The Art of War 3: Retribution,12
Emma's War,12
War Goddess,12
Trojan War,12
Red Alert: The War Within,12
Star Wars: Episode IV - A New Hope,11
The Art of War,11
The War at Home,11
War Hunt,11
My Brother's War (Flashpoint),11
The Protector (Tom yum goong) (Warrior King),11
Dirty War,11
Warchild (Stille Sehnsucht - Warchild),11
The 17th Bride: A Story of Love and War,11
The War in Space,11
Street War,11
"Guerra di Troia, La (The Trojan Horse) (The Trojan War) (The wooden horse of Troy)",11
A Warrior's Heart,11
Between the Lines: The True Story of Surfers and the Vietnam War,11
Sword of War (Barbarossa),11
VeggieTales: Duke and the Great Pie War,11
Left Behind - World at War,10
Andy Warhol's Frankenstein (Flesh for Frankenstein),10
The War Tapes,10
The Second Civil War,10
La Guerra dei robot (Reactor) (Robots) (Stratostars) (War of the Robots),10
War of the Shaolin Temple,10
Uncovered: The War on Iraq,10
In Love and War,10
Carrie's War,10
War Dog (Wardogs),10
Fuglekrigen i Kanofleskoven (War of the Birds),10
Merlin and the War of the Dragons,10
War of the Zombies (Roma contro Roma),10
Dvadtsat dney bez voyny (Twenty Days Without War),10
Bronx War,10
Island at War,10
Bruce Lee - A Warrior's Journey,9
Logan's War,9
Appelkriget (The Apple War),9
Voyna (War),9
Dragon Wars,9
The Good War,9
War Stories,9
How Hitler Lost the War,9
War Dancing,9
"W.A.R.: Women Against Rape, (Death Blow: A Cry for Justice)",9
Theater of War,9
Jenny's War,9
Lost in Space - The War of the Robots,9
"Tomorrow, When the War Began",9
What War May Bring (Ces Amours-la),9
The Flowers of War,9
Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),8
Naqoyqatsi (Naqoyqatsi: Life as War),8
A Merry War (Keep the Aspidistra Flying),8
The War Zone,8
Am zin (Running Out of Time) (Hidden War),8
Art In the Face of War,8
Warsaw (Warszawa),8
The Poet (Hearts of War),8
Dynamite Warrior,8
Unborn in the USA: Inside the War on Abortion,8
Act of War,8
Punisher: War Zone,8
The War Between Us,8
Martin & Lewis: At War with the Army,8
The War That Made America,8
The Vegas Casino War,8
The War on the War on Drugs,8
"Milano rovente (Gang War in Milan, Burning City)",8
War Stories,8
Wojna swiatow - nastepne stulecie (The War of the World: Next Century),8
The War Boys,8
Weekend War,8
War - Loose Grooves: Funkin' Live In England 1980,8
War Witch,8
Cold War,8
Der Krieger und die Kaiserin (The Princess and the Warrior),7
Future War,7
Love And War:,7
Jadesoturi (Jade Warrior),7
Farscape: The Peacekeeper Wars,7
In Love and War,7
War Game,7
War & Truth,7
Ich war neunzehn (I Was Nineteen),7
Countdown to War,7
The Scorpion King 2: Rise of a Warrior,7
H.G. Wells' War of the Worlds: An Historical Perspective of the H.G. Wells Classic Book,7
Arthur and the Invisibles 3: Arthur and the War of Two Worlds,7
Lo strano vizio della Signora Wardh (The Strange Vice of Mrs. Wardh),6
Twin Warriors (Tai ji zhang san feng) (The Tai-Chi Master),6
Tae Guk Gi: The Brotherhood of War,6
The War of the Worlds,6
War Photographer,6
Thumb Wars,6
Hg Wells War of the Worlds,6
The Great War,6
John Ford Goes to War,6
Star Wars: Holiday Special,6
Nomad: The Warrior,6
War Made Easy,6
Hot War (Waan ying dak gung),6
Whose Child Is This? The War for Baby Jessica,6
Murphy's War,6
War of the Worlds 2: The Next Wave,6
The Berlin Airlift: First Battle of the Cold War,6
War Stories,6
The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,6
Stone's War,6
World War Z,6
Zhan shen tan (Beach of the War Gods) (Blood Dragon),6
The Way of War,6
El Espectro de la guerra (Spectre of War)(The Ghost of War),6
The Warrior's Way,6
Camorra  (Gang War In Naples),6
Everyman's War,6
H.G. Wells' The War of the Worlds: The Real Story,6
"World War II: Behind Closed Doors: Stalin, the Nazis and the West",6
War Games,6
Jeff Wayne's Musical Version of 'The War of the Worlds',6
War Bus Commando,6
Unconstitutional: The War on Our Civil Liberties,6
Dallas: War of the Ewings,6
Spoils of War,6
In The Beginning There Was Light (Am Anfang war das Licht) (Lumiere),6
Warm Bodies,6
"War of the Arrows (Arrow, The Ultimate Weapon)",6
The Fog of War - Eleven Lessons from the Life of Robert S. McNamara,5
The War Room,5
The War at Home,5
City War,5
Jung (War) in the Land of the Mujaheddin,5
Iraq for Sale: The War Profiteers,5
Obsession: Radical Islam's War Against the West,5
Jingi naki tatakai: Dairi senso (Battles Without Honor and Humanity: Proxy War),5
ACLU: At War With America,5
The Thirst: Blood War,5
Star Wars: Secrets of the Rebellion,5
Shattered Heroes (The Silent War),5
Noticias de uma Guerra Particular (News from a Personal War),5
"Anno zero - guerra nello spazio, (War of the Planets), (Cosmos: War of the Planets)",5
Fire and Ice: The Winter War of Finland and Russia,5
The Secret War,5
World War II,5
The Art of War II: Betrayal,5
War Child,5
On War (De la guerre),5
Brother's War,5
Le Grand Chef 2: Kimchi War,5
War of the Gargantuas,5
How I Unleashed World War II,5
World War II - When Lions Roared,5
Opium War,5
La guerre des boutons (War of the Buttons),5
War Machine,5
War Of The Dead,5
I Declare War,5
The Silent War,5
Godzilla: Final Wars,4
The Dog Who Stopped the War (La Guerre des Tuques),4
Gojo reisenki: Gojoe (Gojoe: Spirit War Chronicle),4
Six War Years,4
Ambrose Bierce: Civil War Stories,4
Warlords of Hell (Warlords from Hell),4
Blood and Oil: The Middle East in World War I,4
Warlords (Tau ming chong),4
War of the Dead,4
Body of War,4
The Last Days of the Civil War,4
War of the Planets,4
Connors' War,4
Heaven's Tears (Love and War),4
The Undeclared War (La Guerre sans Nom),4
Civil War Diary,4
World War II: An American Retrospective,4
Eyewitness: The Pacific War - Road to War,4
Pom Poko (Heisei tanuki gassen pompoko) (The Raccoon War),3
Dmitri Hvorostovsky - Russian Songs of the War Years,3
"Joan of Arc: Child of War, Soldier of God",3
Mario's War (La Guerra di Mario),3
The War Game,3
Star Wars: Revelations,3
Who Was Edgar Allan? (Wer war Edgar Allan?),3
Committing Poetry in Times of War,3
Spoils of War (In Spite of Love),3
Warszawa. Annee 5703 (Warsaw - Year 5703),3
War Is Sell,3
Hornblower: The Frogs and the Lobsters (Horatio Hornblower: The Wrong War),3
Cold War,3
The War File: The Desert War,3
Brothers at War,3
GoBots: War of the Rock Lords,3
The True Story of Charlie Wilson's War,3
Atomic Jihad: Ahmadinejad's Coming War for Islamic Revival and Obama's Politics of Defeat,3
"The Lion, the Witch, and the Wardrobe",2
Korean War in Color,2
H.G. Wells and The War of the Worlds - A Documentary,2
The Fourth World War,2
The War on Democracy,2
About Face: The Story of the Jewish Refugee Soldiers of World War II,2
Fight: War of Words,2
Medieval Warfare: Wars of the Roses,2
The War File: Blitzkrieg,2
The War File: The Ardennes Offensive,2
Warner at War,2
Breakout: Prisoner of War Escapes,2
War is Menstrual Envy,2
War of Shaolin Temple,2
National Geographic - Vietnam's Unseen War: Pictures from the Other Side,2
Wiebo's War,2
Robert Capa: In Love and War,2
Noam Chomsky - Distorted Morality: America's War on Terror?,1
War Gods of the Deep,1
World War 1 in Color,1
War of the Century - When Hitler Fought Stalin,1
Japan's War in Colour,1
Cul de Sac: A Suburban War Story,1
Jang Aur Aman (War and Peace),1
The First World War,1
Stryker's War (Thou Shalt Not Kill... Except),1
Crucible of Empire: The Spanish-American War,1
"Prelude to War, (Why We Fight, 1)",1
The Second World War,1
World War 1: American Legacy,1
Bilder der Welt und Inschrift des Krieges (Images of the World and the Inscription of War),1
The War of the World: A New History of the 20th Century,1
The War File: The Afrika Korps,1
In the Land of the Head Hunters (In the Land of the War Canoes),1
Children Of Congo: From War To Witches,1
They Drew Fire: Combat Artists of World War II,1
Plan Colombia: Cashing in on the Drug War Failure,1
Slayer: War at the Warfield,1
Star Wars Weapons and End Times Warfare,1
The Last Days of World War II,1
National Geographic Video - The Rhino War,1
War in the Gulf - The Air War,1
War in the Gulf - The Ground War,1
Secrets of War - Spy Games Of World War II,1
World War II: Battle Force - Panzer,1
Secrets of War - Air Wars: Spies in the Sky,1
Secrets of War - Air Wars - Vietnam: Alpha Strike,1
Secrets of War - Bio & Nuclear Warfare,1
World War II - Attack Without Warning,1
Plan Colombia: Cashing In On the Drug War Failure,1
Diamonds of War: Africa's Blood Diamond,1
War - Greatest Hits Live,1
Imperial War Museum: The Royal Air Force at War,1
Visions of War: The Algerian War,1
War Feels Like War,1
