cast_name,movie_name,movie_score
Alison Lohman,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),100
Andrew Lauer,Hg Wells War of the Worlds,100
Chris Sarandon,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),100
Clare Holman,Island at War,100
Jake Busey,Hg Wells War of the Worlds,100
James Wilby,Island at War,100
Joanne Froggatt,Island at War,100
Julia Ford,Island at War,100
Patrick Stewart,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),100
Peter Greene,Hg Wells War of the Worlds,100
Philip Glenister,Island at War,100
Rhett Giles,Hg Wells War of the Worlds,100
Samantha Robinson,Island at War,100
Saskia Reeves,Island at War,100
Sean Gallagher,Island at War,100
Sean Ward,Island at War,100
Shia LaBeouf,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),100
Tinarie VanWyk-Loots,Hg Wells War of the Worlds,100
Tress MacNeille,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),100
Uma Thurman,Kaze no tani no Naushika (Nausicaa of the Valley of the Wind) (Warriors of the Wind),100
