ST,Timestamp,Confirmed
AL,2020-03-11 20:00:00,5
AL,2020-03-14 16:53:03,6
AL,2020-03-15 18:20:19,12
AL,2020-03-16 22:33:03,29
AL,2020-03-17 23:13:10,39
AL,2020-03-18 19:33:03,46
AL,2020-03-19 23:43:04,78
AL,2020-03-20 21:43:03,83
AL,2020-03-21 23:13:18,131
AL,2020-03-22 23:45:00,123
AL,2020-03-23 23:19:34,173
AL,2020-03-24 23:37:31,213
AK,2020-03-10 02:33:04,0
AK,2020-03-11 20:00:00,1
AK,2020-03-13 14:53:03,1
AK,2020-03-17 17:33:03,3
AK,2020-03-18 05:53:25,6
AK,2020-03-19 02:33:09,9
AK,2020-03-20 16:43:10,12
AK,2020-03-21 23:13:18,15
AK,2020-03-22 23:45:00,19
AK,2020-03-23 23:19:34,30
AK,2020-03-24 23:37:31,34
AZ,2020-01-26 16:00:00,1
AZ,2020-01-27 23:59:00,1
AZ,2020-01-28 23:00:00,1
AZ,2020-01-29 19:30:00,1
AZ,2020-01-30 16:00:00,1
AZ,2020-01-31 23:59:00,1
AZ,2020-03-10 02:53:04,6
AZ,2020-03-11 18:52:04,9
AZ,2020-03-11 20:00:00,9
AZ,2020-03-14 18:13:23,25
AZ,2020-03-16 17:13:23,18
AZ,2020-03-17 23:13:10,20
AZ,2020-03-18 19:33:03,27
AZ,2020-03-19 23:43:04,45
AZ,2020-03-20 19:13:30,78
AZ,2020-03-21 23:13:18,118
AZ,2020-03-22 23:45:00,147
AZ,2020-03-23 23:19:34,215
AZ,2020-03-24 23:37:31,323
AR,2020-03-10 02:33:04,0
AR,2020-03-11 18:52:04,1
AR,2020-03-11 20:00:00,6
AR,2020-03-12 21:39:10,6
AR,2020-03-14 22:33:03,12
AR,2020-03-15 18:20:19,16
AR,2020-03-16 17:13:23,22
AR,2020-03-18 19:33:03,33
AR,2020-03-19 21:43:03,62
AR,2020-03-20 21:43:03,96
AR,2020-03-21 23:13:17,122
AR,2020-03-22 23:45:00,140
AR,2020-03-23 23:19:34,150
AR,2020-03-24 23:37:31,175
CA,2020-01-26 16:00:00,2
CA,2020-01-27 23:59:00,2
CA,2020-01-28 23:00:00,2
CA,2020-01-29 19:30:00,2
CA,2020-01-30 16:00:00,2
CA,2020-01-31 23:59:00,2
CA,2020-03-10 19:13:28,144
CA,2020-03-11 20:00:00,282
CA,2020-03-11 23:53:03,177
CA,2020-03-12 23:44:33,221
CA,2020-03-14 22:13:32,340
CA,2020-03-15 18:33:03,426
CA,2020-03-16 23:53:03,557
CA,2020-03-17 22:53:03,698
CA,2020-03-18 19:14:34,751
CA,2020-03-19 21:13:40,952
CA,2020-03-20 23:43:03,1177
CA,2020-03-21 22:43:04,1364
CA,2020-03-22 23:45:00,1587
CA,2020-03-23 23:19:34,2044
CA,2020-03-24 23:37:31,2323
CO,2020-03-10 18:33:03,15
CO,2020-03-11 20:00:00,49
CO,2020-03-11 22:53:03,34
CO,2020-03-12 21:39:10,45
CO,2020-03-14 22:13:32,232
CO,2020-03-16 23:53:03,160
CO,2020-03-17 22:53:03,160
CO,2020-03-18 15:53:09,184
CO,2020-03-19 23:43:04,277
CO,2020-03-20 23:43:03,363
CO,2020-03-21 23:13:18,390
CO,2020-03-22 23:45:00,480
CO,2020-03-23 23:19:34,681
CO,2020-03-24 23:37:31,683
CT,2020-03-10 03:13:17,2
CT,2020-03-11 20:00:00,11
CT,2020-03-11 23:13:06,3
CT,2020-03-12 23:44:33,5
CT,2020-03-14 22:33:03,22
CT,2020-03-15 18:20:19,24
CT,2020-03-16 20:13:20,30
CT,2020-03-17 23:13:10,68
CT,2020-03-19 23:43:04,159
CT,2020-03-20 21:13:29,194
CT,2020-03-21 02:43:03,194
CT,2020-03-22 23:45:00,327
CT,2020-03-23 23:19:34,415
CT,2020-03-24 23:37:31,618
DE,2020-03-10 02:33:04,0
DE,2020-03-11 20:00:00,4
DE,2020-03-11 23:13:06,1
DE,2020-03-14 18:13:20,13
DE,2020-03-16 20:13:20,8
DE,2020-03-17 23:33:02,16
DE,2020-03-18 19:33:03,19
DE,2020-03-19 23:43:04,30
DE,2020-03-20 19:43:03,38
DE,2020-03-21 23:13:18,45
DE,2020-03-22 23:45:00,56
DE,2020-03-23 23:19:34,68
DE,2020-03-24 23:37:31,104
FL,2020-03-10 13:13:14,15
FL,2020-03-11 03:33:05,28
FL,2020-03-11 20:00:00,50
FL,2020-03-12 21:39:10,35
FL,2020-03-14 18:53:03,76
FL,2020-03-15 18:20:19,115
FL,2020-03-16 22:13:21,155
FL,2020-03-17 23:33:02,216
FL,2020-03-18 19:14:34,314
FL,2020-03-19 23:43:04,417
FL,2020-03-20 23:43:03,563
FL,2020-03-21 23:13:18,659
FL,2020-03-22 23:45:00,893
FL,2020-03-23 23:19:34,1148
FL,2020-03-24 23:37:31,1252
GA,2020-03-10 03:53:03,17
GA,2020-03-11 18:52:03,23
GA,2020-03-11 20:00:00,42
GA,2020-03-12 21:39:10,31
GA,2020-03-14 17:53:03,66
GA,2020-03-15 18:20:19,99
GA,2020-03-16 16:53:06,121
GA,2020-03-17 20:13:22,146
GA,2020-03-18 19:14:34,199
GA,2020-03-19 21:13:35,287
GA,2020-03-20 19:13:30,420
GA,2020-03-21 17:43:03,507
GA,2020-03-22 23:45:00,493
GA,2020-03-23 23:19:34,652
GA,2020-03-24 23:37:31,861
HI,2020-03-10 03:13:17,2
HI,2020-03-11 20:00:00,2
HI,2020-03-14 19:53:03,4
HI,2020-03-15 18:20:19,6
HI,2020-03-16 02:53:12,7
HI,2020-03-17 17:33:03,10
HI,2020-03-18 05:53:25,14
HI,2020-03-19 02:33:09,16
HI,2020-03-20 02:43:10,26
HI,2020-03-21 02:43:03,37
HI,2020-03-22 23:45:00,53
HI,2020-03-23 23:19:34,53
HI,2020-03-24 23:37:31,90
ID,2020-03-10 02:33:04,0
ID,2020-03-11 20:00:00,1
ID,2020-03-14 22:33:03,2
ID,2020-03-15 18:20:19,5
ID,2020-03-17 23:33:02,8
ID,2020-03-18 05:53:25,9
ID,2020-03-19 02:33:09,11
ID,2020-03-20 02:43:10,23
