ST,Timestamp,Avg,Confirmed
AK,2020-03-13,0.6666666666666666,1
AK,2020-03-14,1.0,1
AK,2020-03-15,1.0,1
AK,2020-03-16,1.0,1
AK,2020-03-17,1.0,1
AK,2020-03-18,1.6666666666666667,3
AK,2020-03-19,3.3333333333333335,6
AK,2020-03-20,6.0,9
AK,2020-03-21,9.0,12
AK,2020-03-22,12.0,15
AK,2020-03-23,15.333333333333334,19
AK,2020-03-24,21.333333333333332,30
AK,2020-03-25,27.666666666666668,34
AL,2020-03-14,5.0,5
AL,2020-03-15,5.333333333333333,6
AL,2020-03-16,7.666666666666667,12
AL,2020-03-17,15.666666666666666,29
AL,2020-03-18,26.666666666666668,39
AL,2020-03-19,38.0,46
AL,2020-03-20,54.333333333333336,78
AL,2020-03-21,69.0,83
AL,2020-03-22,97.33333333333333,131
AL,2020-03-23,112.33333333333333,123
AL,2020-03-24,142.33333333333334,173
AL,2020-03-25,169.66666666666666,213
AR,2020-03-13,4.0,6
AR,2020-03-14,6.0,6
AR,2020-03-15,8.0,12
AR,2020-03-16,11.333333333333334,16
AR,2020-03-17,16.666666666666668,22
AR,2020-03-18,20.0,22
AR,2020-03-19,25.666666666666668,33
AR,2020-03-20,39.0,62
AR,2020-03-21,63.666666666666664,96
AR,2020-03-22,93.33333333333333,122
AR,2020-03-23,119.33333333333333,140
AR,2020-03-24,137.33333333333334,150
AR,2020-03-25,155.0,175
AZ,2020-01-29,1.0,1
AZ,2020-01-30,1.0,1
AZ,2020-01-31,1.0,1
AZ,2020-02-01,1.0,1
AZ,2020-02-02,1.0,1
AZ,2020-02-03,1.0,1
AZ,2020-02-04,1.0,1
AZ,2020-02-05,1.0,1
AZ,2020-02-06,1.0,1
AZ,2020-02-07,1.0,1
AZ,2020-02-08,1.0,1
AZ,2020-02-09,1.0,1
AZ,2020-02-10,1.0,1
AZ,2020-02-11,1.0,1
AZ,2020-02-12,1.0,1
AZ,2020-02-13,1.0,1
AZ,2020-02-14,1.0,1
AZ,2020-02-15,1.0,1
AZ,2020-02-16,1.0,1
AZ,2020-02-17,1.0,1
AZ,2020-02-18,1.0,1
AZ,2020-02-19,1.0,1
AZ,2020-02-20,1.0,1
AZ,2020-02-21,1.0,1
AZ,2020-02-22,1.0,1
AZ,2020-02-23,1.0,1
AZ,2020-02-24,1.0,1
AZ,2020-02-25,1.0,1
AZ,2020-02-26,1.0,1
AZ,2020-02-27,1.0,1
AZ,2020-02-28,1.0,1
AZ,2020-02-29,1.0,1
AZ,2020-03-01,1.0,1
AZ,2020-03-02,1.0,1
AZ,2020-03-03,1.0,1
AZ,2020-03-04,1.0,1
AZ,2020-03-05,1.0,1
AZ,2020-03-06,1.0,1
AZ,2020-03-07,1.0,1
AZ,2020-03-08,1.0,1
AZ,2020-03-09,1.0,1
AZ,2020-03-10,1.0,1
AZ,2020-03-11,2.6666666666666665,6
AZ,2020-03-12,5.333333333333333,9
AZ,2020-03-13,8.0,9
AZ,2020-03-14,9.0,9
AZ,2020-03-15,14.333333333333334,25
AZ,2020-03-16,19.666666666666668,25
AZ,2020-03-17,22.666666666666668,18
AZ,2020-03-18,21.0,20
AZ,2020-03-19,21.666666666666668,27
AZ,2020-03-20,30.666666666666668,45
AZ,2020-03-21,50.0,78
AZ,2020-03-22,80.33333333333333,118
AZ,2020-03-23,114.33333333333333,147
AZ,2020-03-24,160.0,215
AZ,2020-03-25,228.33333333333334,323
CA,2020-01-29,2.0,2
CA,2020-01-30,2.0,2
CA,2020-01-31,2.0,2
CA,2020-02-01,2.0,2
CA,2020-02-02,2.0,2
CA,2020-02-03,2.0,2
CA,2020-02-04,2.0,2
CA,2020-02-05,2.0,2
CA,2020-02-06,2.0,2
CA,2020-02-07,2.0,2
CA,2020-02-08,2.0,2
CA,2020-02-09,2.0,2
CA,2020-02-10,2.0,2
CA,2020-02-11,2.0,2
CA,2020-02-12,2.0,2
CA,2020-02-13,2.0,2
CA,2020-02-14,2.0,2
CA,2020-02-15,2.0,2
CA,2020-02-16,2.0,2
CA,2020-02-17,2.0,2
CA,2020-02-18,2.0,2
CA,2020-02-19,2.0,2
CA,2020-02-20,2.0,2
CA,2020-02-21,2.0,2
CA,2020-02-22,2.0,2
CA,2020-02-23,2.0,2
CA,2020-02-24,2.0,2
CA,2020-02-25,2.0,2
CA,2020-02-26,2.0,2
CA,2020-02-27,2.0,2
