Sender,Receiver,Frequency
81,80,1406
32,80,1262
87,80,857
80,81,529
80,32,372
194,80,362
80,87,349
116,80,336
80,116,244
170,80,154
124,80,151
80,124,141
10,80,130
80,272,125
180,80,118
143,80,96
122,80,83
80,170,76
105,80,73
124,81,71
80,256,54
80,194,51
81,272,44
80,122,38
196,80,37
80,150,34
80,180,34
80,185,33
16,80,30
32,87,30
80,10,30
150,80,29
80,243,27
87,81,27
30,80,26
32,81,23
112,80,23
80,143,22
81,87,22
87,170,22
185,80,22
81,233,20
105,87,20
116,81,20
80,265,19
170,87,19
80,112,17
105,32,17
22,80,15
80,292,15
81,32,15
81,124,15
94,80,15
144,80,15
168,80,15
77,80,14
113,80,14
86,80,13
170,81,13
15,80,12
80,86,12
80,196,12
80,276,12
81,116,12
81,160,12
87,32,12
80,171,11
80,361,11
48,80,10
80,90,10
80,105,10
80,216,10
85,80,10
142,80,10
148,80,10
216,80,10
63,80,9
80,22,9
80,113,9
80,226,9
81,150,9
135,80,9
180,86,9
180,87,9
191,80,9
32,281,8
80,30,8
80,305,8
9,80,7
12,80,7
80,9,7
80,156,7
80,205,7
153,80,7
180,81,7
213,80,7
225,80,7
22,81,6
38,80,6
72,80,6
80,77,6
80,282,6
80,346,6
90,80,6
93,80,6
124,350,6
205,80,6
32,86,5
32,124,5
46,80,5
80,94,5
80,160,5
80,233,5
80,273,5
80,288,5
80,289,5
80,290,5
103,80,5
122,81,5
156,80,5
194,32,5
204,80,5
220,80,5
10,122,4
16,81,4
32,156,4
32,170,4
75,208,4
80,15,4
80,60,4
80,110,4
80,135,4
80,144,4
80,169,4
80,186,4
80,204,4
80,316,4
80,387,4
81,10,4
81,170,4
81,187,4
81,474,4
86,87,4
87,10,4
93,87,4
94,87,4
98,80,4
105,86,4
122,10,4
124,32,4
124,116,4
169,80,4
171,80,4
185,116,4
192,80,4
10,87,3
22,32,3
32,10,3
32,180,3
41,80,3
42,80,3
80,12,3
80,41,3
80,46,3
80,63,3
80,133,3
80,174,3
80,191,3
80,202,3
80,264,3
80,274,3
80,286,3
80,332,3
80,353,3
80,365,3
80,372,3
80,381,3
80,403,3
80,408,3
80,483,3
81,180,3
86,32,3
87,94,3
87,105,3
87,422,3
105,170,3
113,87,3
116,32,3
122,32,3
122,87,3
123,80,3
124,274,3
180,32,3
205,122,3
213,32,3
219,80,3
10,32,2
21,80,2
22,163,2
24,80,2
29,17,2
29,489,2
32,22,2
32,59,2
32,105,2
32,133,2
32,163,2
32,168,2
32,191,2
32,228,2
32,286,2
32,395,2
38,32,2
48,87,2
49,80,2
50,80,2
53,86,2
