index,Country,Search_Interest,Sport,Population
0,Iran,1,Archery,80987449
1,South Korea,2,Archery,50924172
2,Mexico,1,Archery,123166749
3,Netherlands,1,Archery,17016967
4,Aruba,16,Artistic gymnastics,113648
5,Afghanistan,3,Artistic gymnastics,33332025
6,Angola,3,Artistic gymnastics,28289713
7,Albania,1,Artistic gymnastics,3038594
8,Andorra,2,Artistic gymnastics,85660
9,United Arab Emirates,3,Artistic gymnastics,5927482
10,Argentina,2,Artistic gymnastics,43886748
11,Armenia,1,Artistic gymnastics,3051250
12,Antigua and Barbuda,12,Artistic gymnastics,93581
13,Australia,4,Artistic gymnastics,22992654
14,Austria,2,Artistic gymnastics,8711770
15,Azerbaijan,1,Artistic gymnastics,9872765
16,Belgium,4,Artistic gymnastics,11409077
17,Benin,1,Artistic gymnastics,10741458
18,Burkina Faso,2,Artistic gymnastics,19512533
19,Bulgaria,1,Artistic gymnastics,7144653
20,Bahrain,2,Artistic gymnastics,1378904
21,Bahamas,17,Artistic gymnastics,327316
22,Bosnia and Herzegovina,1,Artistic gymnastics,3861912
23,Belarus,1,Artistic gymnastics,9570376
24,Belize,14,Artistic gymnastics,353858
25,Bermuda,18,Artistic gymnastics,70537
26,Bolivia,2,Artistic gymnastics,10969649
27,Brazil,7,Artistic gymnastics,205823665
28,Barbados,20,Artistic gymnastics,291495
29,Brunei,1,Artistic gymnastics,436620
30,Botswana,2,Artistic gymnastics,2180597
31,Canada,5,Artistic gymnastics,35362905
32,Switzerland,7,Artistic gymnastics,8179294
33,Chile,7,Artistic gymnastics,17650114
34,Ivory Coast,2,Artistic gymnastics,23740424
35,Cameroon,3,Artistic gymnastics,24360803
36,Democratic Republic of the Congo,1,Artistic gymnastics,81331050
37,Colombia,3,Artistic gymnastics,47220856
38,Cape Verde,4,Artistic gymnastics,553432
39,Costa Rica,4,Artistic gymnastics,4872543
40,Cayman Islands,12,Artistic gymnastics,57268
41,Cyprus,3,Artistic gymnastics,1205575
42,Czech Republic,3,Artistic gymnastics,10660932
43,Germany,4,Artistic gymnastics,80722792
44,Dominica,14,Artistic gymnastics,73757
45,Denmark,3,Artistic gymnastics,5593785
46,Dominican Republic,2,Artistic gymnastics,10606865
47,Ecuador,2,Artistic gymnastics,16080778
48,Spain,5,Artistic gymnastics,48563476
49,Estonia,2,Artistic gymnastics,1258545
50,Ethiopia,1,Artistic gymnastics,102374044
51,Finland,3,Artistic gymnastics,5498211
52,Fiji,2,Artistic gymnastics,915303
53,France,3,Artistic gymnastics,66836154
54,Faroe Islands,4,Artistic gymnastics,50456
55,Gabon,2,Artistic gymnastics,1738541
56,Great Britain,6,Artistic gymnastics,64430428
57,Guernsey,7,Artistic gymnastics,66297
58,Ghana,2,Artistic gymnastics,26908262
59,Gibraltar,5,Artistic gymnastics,29328
60,Guadeloupe,4,Artistic gymnastics,402119
61,Greece,4,Artistic gymnastics,10773253
62,Grenada,12,Artistic gymnastics,111219
63,Guatemala,6,Artistic gymnastics,15189958
64,French Guiana,3,Artistic gymnastics,250109
65,Guam,8,Artistic gymnastics,166898
66,Guyana,11,Artistic gymnastics,735909
67,Hong Kong,3,Artistic gymnastics,7167403
68,Honduras,3,Artistic gymnastics,8893259
69,Croatia,4,Artistic gymnastics,4313707
70,Haiti,4,Artistic gymnastics,10485800
71,Hungary,2,Artistic gymnastics,9874784
72,Isle of Man,5,Artistic gymnastics,88195
