Sport,weighted_interest
Swimming,5.983388379895086
Athletics (Track & Field),4.273728431306649
Badminton,3.0510637892918377
Artistic gymnastics,2.337362527828298
Tennis,2.1193078584890377
Football (Soccer),1.3454331713693697
Table tennis,0.9293006069017753
Wrestling,0.8459342312119302
Diving,0.7278397762170019
Basketball,0.4627884208608866
Judo,0.3386870442130049
Cycling,0.32558439600498895
Beach volleyball,0.2418227795937879
Shooting,0.23886298492553829
Indoor volleyball,0.2349385393810978
Equestrian,0.22838486215195952
Weightlifting,0.1536120195117488
Boxing,0.10855220983684898
Fencing,0.09963186875673086
Taekwondo,0.059284109511692926
Archery,0.042815598728453676
Handball,0.04186438066700318
Field hockey,0.029490539967291993
Rowing,0.027795478016761
Golf,0.027492120383284257
Sailing,0.02148276289523099
Canoeing,0.018668007713027505
Rhythmic gymnastics,0.014583314519521553
Water polo,0.012611742008270815
Rugby sevens,0.010818205886650277
Synchronized swimming,0.006459701075358422
Trampolining,0.004687283300750817
Triathlon,0.0006738945836787297
Modern pentathlon,0.00037832321897532194
