source,target
kevincourser.blogspot.com,littlegreenfootballs.com/weblog
kevincourser.blogspot.com,drudgereport.com
theleftcoaster.com,warandpiece.com
theleftcoaster.com,bartcop.com
theleftcoaster.com,prospect.org/weblog
theleftcoaster.com,emergingdemocraticmajorityweblog.com/donkeyrising
theleftcoaster.com,jameswolcott.com
theleftcoaster.com,stevegilliard.blogspot.com
theleftcoaster.com,msnbc.msn.com/id/3449870
theleftcoaster.com,seetheforest.blogspot.com
theleftcoaster.com,mydd.com
theleftcoaster.com,rittenhouse.blogspot.com
theleftcoaster.com,blog.dccc.org
theleftcoaster.com,node707.com
theleftcoaster.com,thismodernworld.com
theleftcoaster.com,digbysblog.blogspot.com
theleftcoaster.com,talkingpointsmemo.com
theleftcoaster.com,needlenose.com
theleftcoaster.com,reachm.com/amstreet
theleftcoaster.com,myleftbrain.com
theleftcoaster.com,oliverwillis.com
theleftcoaster.com,dailykos.com
theleftcoaster.com,maxspeak.org/mt
theleftcoaster.com,atrios.blogspot.com
theleftcoaster.com,mahablog.com
theleftcoaster.com,wampum.wabanaki.net
theleftcoaster.com,j-bradford-delong.net/movable_type
theleftcoaster.com,democraticunderground.com
theleftcoaster.com,politicalstrategy.org
theleftcoaster.com,washingtonmonthly.com
theleftcoaster.com,billmon.org
theleftcoaster.com,upper-left.blogspot.com
theleftcoaster.com,liberaloasis.com
theleftcoaster.com,talkleft.com
theleftcoaster.com,riverbendblog.blogspot.com
theleftcoaster.com,michaelberube.com
theleftcoaster.com,juancole.com
theleftcoaster.com,bopnews.com
theleftcoaster.com,bodyandsoul.typepad.com
theleftcoaster.com,pacificviews.org
theleftcoaster.com,fafblog.blogspot.com
theleftcoaster.com,fromtheroots.org
theleftcoaster.com,dneiwert.blogspot.com
theleftcoaster.com,markschmitt.typepad.com/decembrist
theleftcoaster.com,interestingtimes.blogspot.com
theleftcoaster.com,discourse.net
theleftcoaster.com,democrats.org/blog
theleftcoaster.com,ospolitics.org
theleftcoaster.com,suburbanguerrilla.blogspot.com
kicktheleftist.blogspot.com,prospect.org/weblog
kicktheleftist.blogspot.com,msnbc.msn.com/id/3449870
kicktheleftist.blogspot.com,talkingpointsmemo.com
kicktheleftist.blogspot.com,dailykos.com
kicktheleftist.blogspot.com,atrios.blogspot.com
kicktheleftist.blogspot.com,drudgereport.com
kicktheleftist.blogspot.com,rogerailes.blogspot.com
kicktheleftist.blogspot.com,corrente.blogspot.com
madanthony.org,truthlaidbear.com
madanthony.org,nationalreview.com/thecorner
karmicsoup.blogspot.com,dailykos.com
americablog.org,americablog.org
americablog.org,prospect.org/weblog
americablog.org,stevegilliard.blogspot.com
americablog.org,mydd.com
americablog.org,rittenhouse.blogspot.com
americablog.org,americablog.blogspot.com
americablog.org,talkingpointsmemo.com
americablog.org,dailykos.com
americablog.org,blogs.salon.com/0002874
americablog.org,atrios.blogspot.com
americablog.org,drudgereport.com
americablog.org,patriotboy.blogspot.com
americablog.org,mathewgross.com/blog
americablog.org,democraticunderground.com
americablog.org,smithersmpls.com
americablog.org,talkleft.com
americablog.org,bopnews.com
americablog.org,rogerailes.blogspot.com
americablog.org,wonkette.com
americablog.org,tbogg.blogspot.com
americablog.org,margaretcho.com/blog/blog.htm
hectorvex.blogspot.com,celluloid-wisdom.com/pw
hectorvex.blogspot.com,mypetjawa.mu.nu
hectorvex.blogspot.com,electricvenom.com
hectorvex.blogspot.com,truthlaidbear.com
hectorvex.blogspot.com,drudgereport.com
hectorvex.blogspot.com,sixmeatbuffet.com
hectorvex.blogspot.com,beautifulatrocities.com
hectorvex.blogspot.com,ace.mu.nu
hectorvex.blogspot.com,instapundit.com
hectorvex.blogspot.com,deanesmay.com
hectorvex.blogspot.com,wizbangblog.com
hectorvex.blogspot.com,zeke01.typepad.com
hectorvex.blogspot.com,crankyneocon.com/crankyneocon
agonist.org,roadtosurfdom.com
agonist.org,nathancallahan.com
agonist.org,digbysblog.blogspot.com
agonist.org,talkingpointsmemo.com
agonist.org,dailykos.com
agonist.org,atrios.blogspot.com
agonist.org,j-bradford-delong.net/movable_type
agonist.org,washingtonmonthly.com
agonist.org,billmon.org
agonist.org,talkleft.com
agonist.org,juancole.com
agonist.org,crookedtimber.org
agonist.org,offthekuff.com/mt
agonist.org,bodyandsoul.typepad.com
agonist.org,corrente.blogspot.com
warandpiece.com,theleftcoaster.com
warandpiece.com,thewashingtonnote.com
warandpiece.com,prospect.org/weblog
warandpiece.com,emergingdemocraticmajorityweblog.com/donkeyrising
warandpiece.com,jameswolcott.com
warandpiece.com,roadtosurfdom.com
warandpiece.com,digbysblog.blogspot.com
warandpiece.com,talkingpointsmemo.com
warandpiece.com,needlenose.com
warandpiece.com,rogerlsimon.com
warandpiece.com,dailykos.com
warandpiece.com,atrios.blogspot.com
warandpiece.com,wampum.wabanaki.net
warandpiece.com,j-bradford-delong.net/movable_type
warandpiece.com,windsofchange.net
warandpiece.com,washingtonmonthly.com
warandpiece.com,nationalreview.com/thecorner
warandpiece.com,juancole.com
warandpiece.com,bodyandsoul.typepad.com
warandpiece.com,yglesias.typepad.com/matthew
warandpiece.com,danieldrezner.com/blog
warandpiece.com,newdonkey.com
warandpiece.com,discourse.net
warandpiece.com,suburbanguerrilla.blogspot.com
kcdems.blogspot.com,digbysblog.blogspot.com
kcdems.blogspot.com,dailykos.com
kcdems.blogspot.com,talkleft.com
kcdems.blogspot.com,dneiwert.blogspot.com
soundingthetrumpet.blogspot.com,blogsforbush.com
soundingthetrumpet.blogspot.com,truthlaidbear.com
soundingthetrumpet.blogspot.com,polipundit.com
soundingthetrumpet.blogspot.com,redstate.org
soundingthetrumpet.blogspot.com,gopbloggers.org
soundingthetrumpet.blogspot.com,instapundit.com
soundingthetrumpet.blogspot.com,evangelicaloutpost.com
soundingthetrumpet.blogspot.com,captainsquartersblog.com/mt
soundingthetrumpet.blogspot.com,prolifeblogs.com
soundingthetrumpet.blogspot.com,powerlineblog.com
soundingthetrumpet.blogspot.com,patrickruffini.com
retiredwarrant.blogdrive.com,michellemalkin.com
retiredwarrant.blogdrive.com,denbeste.nu
retiredwarrant.blogdrive.com,blogsforbush.com
retiredwarrant.blogdrive.com,drumwaster.com
retiredwarrant.blogdrive.com,drudgereport.com
retiredwarrant.blogdrive.com,anncoulter.org
retiredwarrant.blogdrive.com,bobhayes.net
indcjournal.com,strategicintelligence.blogspot.com
indcjournal.com,lashawnbarber.com
indcjournal.com,patterico.com
indcjournal.com,outsidethebeltway.com
indcjournal.com,michellemalkin.com
indcjournal.com,celluloid-wisdom.com/pw
indcjournal.com,mypetjawa.mu.nu
indcjournal.com,nomayo.mu.nu
indcjournal.com,grupo-utopia.com/blog/isou
indcjournal.com,littlegreenfootballs.com/weblog
indcjournal.com,qando.net
indcjournal.com,polipundit.com
indcjournal.com,acepilots.com/mt
indcjournal.com,indepundit.com
indcjournal.com,dailyrecycler.com/blog
indcjournal.com,ghostofaflea.com
indcjournal.com,ratherbiased.com/news
indcjournal.com,rathergate.com
indcjournal.com,beautifulatrocities.com
indcjournal.com,txfx.net
indcjournal.com,ace.mu.nu
indcjournal.com,instapundit.com
indcjournal.com,billroggio.com/easongate
indcjournal.com,captainsquartersblog.com/mt
indcjournal.com,rightwingnews.com
indcjournal.com,nationalreview.com/thecorner
indcjournal.com,talkleft.com
indcjournal.com,timblair.net
indcjournal.com,jquinton.com
indcjournal.com,deanesmay.com
indcjournal.com,pennywit.com/drupal
indcjournal.com,wonkette.com
indcjournal.com,diplomadic.blogspot.com
indcjournal.com,realclearpolitics.com
indcjournal.com,wizbangblog.com
indcjournal.com,powerlineblog.com
indcjournal.com,hughhewitt.com
indcjournal.com,la4israel.org/wordpress
indcjournal.com,iraqthemodel.blogspot.com
indcjournal.com,sayanythingblog.com
indcjournal.com,imao.us
indcjournal.com,king-of-fools.com
snunes.blogspot.com,theleftcoaster.com
snunes.blogspot.com,bartcop.com
snunes.blogspot.com,prospect.org/weblog
snunes.blogspot.com,jameswolcott.com
snunes.blogspot.com,iddybud.blogspot.com
snunes.blogspot.com,frederickclarkson.com
snunes.blogspot.com,mydd.com
snunes.blogspot.com,anoldsoul.blogspot.com
snunes.blogspot.com,rudepundit.blogspot.com
snunes.blogspot.com,rittenhouse.blogspot.com
snunes.blogspot.com,elayneriggs.blogspot.com
snunes.blogspot.com,blog.dccc.org
snunes.blogspot.com,loadedmouth.com
snunes.blogspot.com,americablog.blogspot.com
snunes.blogspot.com,angrybear.blogspot.com
snunes.blogspot.com,digbysblog.blogspot.com
snunes.blogspot.com,ihatepatrobertson.com
snunes.blogspot.com,newleftblogs.blogspot.com
snunes.blogspot.com,talkingpointsmemo.com
snunes.blogspot.com,reachm.com/amstreet
snunes.blogspot.com,takebackthemedia.com
snunes.blogspot.com,juliusblog.blogspot.com
snunes.blogspot.com,oliverwillis.com
snunes.blogspot.com,rising-hegemon.blogspot.com
snunes.blogspot.com,dailykos.com
snunes.blogspot.com,madkane.com/notable.html
snunes.blogspot.com,blogs.salon.com/0002874
snunes.blogspot.com,atrios.blogspot.com
snunes.blogspot.com,patriotboy.blogspot.com
snunes.blogspot.com,wampum.wabanaki.net
snunes.blogspot.com,j-bradford-delong.net/movable_type
snunes.blogspot.com,amptoons.com/blog
snunes.blogspot.com,politicalstrategy.org
snunes.blogspot.com,roxanne.typepad.com
snunes.blogspot.com,washingtonmonthly.com
snunes.blogspot.com,pandagon.net
snunes.blogspot.com,nielsenhayden.com/makinglight
snunes.blogspot.com,liberaloasis.com
snunes.blogspot.com,talkleft.com
snunes.blogspot.com,juancole.com
snunes.blogspot.com,crookedtimber.org
snunes.blogspot.com,bopnews.com
snunes.blogspot.com,offthekuff.com/mt
snunes.blogspot.com,rogerailes.blogspot.com
snunes.blogspot.com,wonkette.com
snunes.blogspot.com,emergingdemocraticmajority.com
snunes.blogspot.com,bodyandsoul.typepad.com
snunes.blogspot.com,tbogg.blogspot.com
snunes.blogspot.com,thecarpetbaggerreport.com
snunes.blogspot.com,the-hamster.com
snunes.blogspot.com,yglesias.typepad.com/matthew
snunes.blogspot.com,dneiwert.blogspot.com
snunes.blogspot.com,polstate.com
snunes.blogspot.com,left2right.typepad.com
snunes.blogspot.com,interestingtimes.blogspot.com
snunes.blogspot.com,uggabugga.blogspot.com
snunes.blogspot.com,burntorangereport.com
snunes.blogspot.com,corrente.blogspot.com
snunes.blogspot.com,democrats.org/blog
snunes.blogspot.com,nathannewman.org/log
snunes.blogspot.com,hotflashreport.com
snunes.blogspot.com,home.houston.rr.com/skeptical
snunes.blogspot.com,suburbanguerrilla.blogspot.com
strategicintelligence.blogspot.com,lashawnbarber.com
strategicintelligence.blogspot.com,michellemalkin.com
