name,pol
kevincourser.blogspot.com,1
theleftcoaster.com,-1
kicktheleftist.blogspot.com,-1
madanthony.org,1
karmicsoup.blogspot.com,-1
americablog.org,-1
hectorvex.blogspot.com,1
agonist.org,-1
warandpiece.com,-1
kcdems.blogspot.com,-1
soundingthetrumpet.blogspot.com,1
retiredwarrant.blogdrive.com,1
indcjournal.com,1
snunes.blogspot.com,-1
strategicintelligence.blogspot.com,1
andifeelfine.blogspot.com,-1
asmallvictory.net,1
unodemocrats.com/blog,-1
digestiblenews.blogspot.com,-1
youngconservative.blogspot.com,1
thewashingtonnote.com,-1
bartcop.com,-1
higherpieproductions.com,-1
robschumacher.blogspot.com,-1
jperspective.com,1
lashawnbarber.com,1
kydem.blogspot.com,-1
wtpm.blogspot.com,-1
mysterypollster.com/main,-1
thomasblog.typepad.com/bloggg,-1
idlehandsmag.com/yellowdog04,-1
patterico.com,1
iowageek.blogspot.com,1
prospect.org/weblog,-1
emergingdemocraticmajorityweblog.com/donkeyrising,-1
whoviating.blogspot.com,-1
thesnooter.blogspot.com,-1
waitingfordorothy.blogspot.com,-1
punditz.journalspace.com,1
clarified.blogspot.com,-1
hillcountryviews.blogspot.com,1
outsidethebeltway.com,1
babytrollblog.com,1
dalythoughts.com,1
regimechangeiran.com,1
belmontclub.blogspot.com,1
blog.ncsweb.us,1
michellemalkin.com,1
c-pol.blogspot.com,1
denbeste.nu,1
strangedoctrines.typepad.com,-1
bittersweetme.net/blog/index.php,1
dummocrats.com,1
jameswolcott.com,-1
whatsakyer.blogspot.com,1
windingroad.typepad.com,1
stevegilliard.blogspot.com,-1
dawnofnewamerica.blogspot.com,-1
msnbc.msn.com/id/3449870,-1
professorbainbridge.com,1
eeg3.com,1
celluloid-wisdom.com/pw,1
rightmoment.blogspot.com,1
althouse.blogspot.com,1
seetheforest.blogspot.com,-1
americanreport.blogspot.com,1
davidsirota.com,-1
roadtosurfdom.com,-1
yarsrevenge.blogspot.com,-1
confederateyankee.blogspot.com,1
thespoonsexperience.com,1
nathancallahan.com,-1
iddybud.blogspot.com,-1
frederickclarkson.com,-1
mydd.com,-1
oppb.com,1
liberalavenger.com,-1
elevendayempire.com/movabletype,1
republicoft.typepad.com,-1
vikingpundit.blogspot.com,1
politics.feedster.com,-1
pacdaily.com,-1
nationalcenter.org/blog.html,1
adeimantus.blogspot.com,1
pajamahadin.com,1
donaldsensing.com,1
slingsnarrows.erudite-absurdity.com,1
anoldsoul.blogspot.com,-1
gopinsight.com,1
williamwebbdotorg.blogspot.com,1
bkennelly.com/vox,1
jinkythecat.blogspot.com,-1
mathewgross.com,-1
electionprojection.com,1
opiniontimes.blogspot.com,1
pudentilla.blogspot.com,-1
arkanssouri.blogspot.com,1
emilythedog.blogspot.com,1
gullyborg.typepad.com,1
ryanshead.com,1
rudepundit.blogspot.com,-1
mhking.mu.nu,1
daddypundit.blogspot.com,1
maybeithinktoomuch.com,1
laughingwolf.net,1
pajamaeditors.blogspot.com,1
alicublog.blogspot.com,-1
slipofthepen.blogspot.com,1
alarmingnews.com,1
rittenhouse.blogspot.com,-1
poliblogger.com,1
sistertoldjah.com,1
therightblog.blogspot.com,1
nerepublican.blogspot.com,1
cbcbcbcb.blogspot.com,1
blogs.salon.com/0003364,-1
samizdata.net/blog,1
mypetjawa.mu.nu,1
theyetimn.blogspot.com,-1
12thharmonic.com/wordpress,-1
wehavesomeplanes.blogspot.com,1
musicfromthebluelight.com/b,1
ayerdis.com/rants.php,1
blogsforbush.com,1
norbizness.com,-1
philomathean.blogs.com,1
thepoliticalteen.net,1
elayneriggs.blogspot.com,-1
jadbury.com/blog,-1
nomayo.mu.nu,1
texasbug.blogspot.com,1
mdcbowen.org/cobb,1
chiefsblog.blogspot.com,1
blog.dccc.org,-1
stolenthunder.blogspot.com,1
seeingtheforest.com,-1
gopandcollege.blogspot.com,1
oxblog.blogspot.com,-1
home.earthlink.net/~kevin.omeara,-1
loadedmouth.com,-1
boloboffin.blogspot.com,-1
electablog.com,-1
americablog.blogspot.com,-1
pennsylvanianinexile.blogspot.com,1
mirocat.com,-1
decision08.blogspot.com,1
mementomoron.blogspot.com,1
powerpundit.com,1
node707.com,-1
randomjottings.net,1
allanjenkins.typepad.com,-1
electricvenom.com,1
angrybear.blogspot.com,-1
mtvirtus.blogspot.com,1
waveflux.net,-1
americandinosaur.blogspot.com,1
thismodernworld.com,-1
