source,target
5064,1776
5064,488
1776,488
5064,190
5064,1277188
380,4690
380,3096
380,5064
4690,3096
4690,5064
3096,5064
10400,5064
36592,1373737
36592,10990
36592,5064
1373737,10990
1373737,5064
10990,5064
10215,230194
10215,5064
230194,5064
325,5064
2231,1
2231,5064
1,5064
131,107515
131,60034
131,5064
107515,60034
107515,5064
60034,5064
33829,1164
33829,5064
1164,5064
190,3265
190,4078
3265,4078
190,14276
4078,14276
190,74308
190,928572
74308,928572
190,14701
190,6449
14701,6449
14782,190
14782,147
190,147
3892,190
1032,1150
1032,1776
1032,190
1150,1776
1150,190
1776,190
19429,18897
19429,15111
19429,190
18897,15111
18897,190
15111,190
4430,6449
4430,190
9979,9789
9979,6449
9979,190
9789,6449
9789,190
20156,4347
20156,4299
20156,190
4347,4299
4347,190
4299,190
1776,2559324
1776,27888
3037,4951
3037,1776
4951,1776
1,1776
64,1776
1769,205
1769,4512
1769,1776
205,4512
205,1776
4512,1776
55983,7908
55983,1776
7908,1776
1032,1006721
1006721,1776
15175,138
15175,36594
15175,1776
138,36594
138,1776
36594,1776
3084,3087
3084,8349
3084,1776
3087,8349
3087,1776
8349,1776
10215,230192
230192,230194
145755,1082289
145755,1082290
145755,230194
1082289,1082290
1082289,230194
1082290,230194
380,1038
380,13
1038,13
380,4512
380,4513
4512,4513
380,4430
380,4517
4430,4517
380,14702
4517,14702
380,45001
11477,380
11477,4517
73421,380
73421,1545693
380,1545693
1032,380
1158,3087
1158,3092
1158,380
3087,3092
3087,380
3092,380
1259,19665
1259,380
19665,380
1208,11181
1208,30140
1208,380
11181,30140
11181,380
30140,380
1006721,380
1158,3084
3084,380
113,55949
113,380
55949,380
73641,1202593
73641,33684
73641,380
1202593,33684
1202593,380
33684,380
138986,53397
138986,7904
138986,380
53397,7904
53397,380
7904,380
138986,7447
138986,85564
7447,85564
7447,380
85564,380
131,6968
131,17142
6968,17142
69597,85097
69597,131
85097,131
1164,3999
1164,4000
3999,4000
5469,1164
5469,1291350
1164,1291350
1222952,1748
1222952,1749
1222952,1164
1748,1749
1748,1164
1749,1164
1158,1159
1158,1160
1158,1164
1159,1160
1159,1164
1160,1164
148251,4959
148251,1164
4959,1164
488,13848
3037,488
4951,488
9261,488
2227,500
2227,488
500,488
2297235,491
2297235,488
491,488
30807,670
30807,488
670,488
1032,488
1006721,488
2231,488
1,488
2154,2152
2154,488
2152,488
325,488
1306064,174981
1306064,488
174981,488
4430,488
6449,488
131,488
107515,488
60034,488
47646,59620
47646,1108724
47646,1373737
59620,1108724
59620,1373737
1108724,1373737
1277188,887
1277188,1204
887,1204
60073,1277188
60073,11148
1277188,11148
1,1169636
1,71538
1021364,1
12898,31
12898,1
31,1
1032,1
1150,1
2297235,1
491,1
3037,1
4951,1
11770,515
11770,1
515,1
1006721,1
4,3799
4,130
4,1
3799,130
3799,1
130,1
130,33185
33185,1
9979,1
9789,1
6449,1
2231,822
2231,20879
822,20879
8891,2231
8891,139
2231,139
2632,2231
2632,5726
2231,5726
2231,2047
16828,3223
16828,2231
3223,2231
134,27319
134,6193
134,2231
27319,6193
27319,2231
6193,2231
113674,10850
113674,2231
10850,2231
8891,44038
44038,2231
4430,2231
6449,2231
35705,143242
35705,2231
143242,2231
139,2535
139,140
2535,140
2535,2231
140,2231
3223,103
16828,103
103,2231
11477,2231
380,2231
4517,2231
287,19119
287,27319
287,2231
19119,27319
19119,2231
3223,74568
74568,16828
74568,2231
10215,116341
10215,7487
116341,7487
10215,47990
10215,112923
47990,112923
10215,1829413
112923,1829413
10592,10215
10592,10593
10215,10593
10215,55466
16463,10215
558240,8968
558240,11181
558240,10215
8968,11181
8968,10215
11181,10215
1149345,80535
1149345,47632
1149345,10215
80535,47632
80535,10215
47632,10215
1116912,2585
1116912,10215
2585,10215
2585,100183
2585,13745
100183,13745
100183,10215
13745,10215
62644,32362
62644,10215
32362,10215
58198,1409651
58198,10215
1409651,10215
108661,214830
108661,1070445
108661,10215
214830,1070445
214830,10215
1070445,10215
1005788,1076915
1005788,162339
1005788,107515
1076915,162339
1076915,107515
162339,107515
10400,23916
10400,178536
23916,178536
10400,10468
10400,7909
10468,7909
10468,1884
10400,1884
10400,7174
10400,21064
65717,10431
65717,10400
10431,10400
60034,69899
60034,13636
69899,13636
11076,60034
11076,49827
60034,49827
230680,73357
230680,1702761
230680,36592
73357,1702761
73357,36592
1702761,36592
5469,36592
1164,36592
1291350,36592
2136046,2135942
2136046,36592
2135942,36592
325,84534
325,9315
84534,9315
325,224858
325,544016
325,62644
325,1740159
325,1945289
325,1135272
1776464,4244
1776464,325
4244,325
37934,15310
37934,325
15310,325
4690,4038
4690,25626
4038,25626
4690,32396
10468,4690
10400,4690
1884,4690
8891,4690
2231,4690
139,4690
37934,4690
15310,4690
56323,56322
56323,41091
56323,4690
56322,41091
56322,4690
41091,4690
10980,10989
10980,10990
10989,10990
1158,3096
3087,3096
3092,3096
3084,3096
3084,3085
1158,3085
3085,3096
55466,16866
1084537,2609280
1084537,8891
1084537,55466
2609280,8891
2609280,55466
8891,55466
11279,80860
11279,55466
80860,55466
81487,56367
81487,55466
56367,55466
2154,1213783
20,2154
1222952,2154
1748,2154
1749,2154
1979,516
1979,2155
1979,2154
516,2155
516,2154
2155,2154
151385,2372
