id,name
5064,Meryl Streep
1776,Francis Ford Coppola
488,Steven Spielberg
190,Clint Eastwood
1277188,Jacob Tremblay
380,Robert De Niro
4690,Christopher Walken
3096,John Cazale
10400,Barbra Streisand
36592,Saoirse Ronan
1373737,Florence Pugh
10990,Emma Watson
10215,Paul McCartney
230194,Abraham Laboriel Jr.
325,Eminem
2231,Samuel L. Jackson
1,George Lucas
131,Jake Gyllenhaal
107515,Raúl Esparza
60034,Laura Benanti
33829,Terrence McNally
1164,F. Murray Abraham
2559324,Beth Lane
27888,Raúl Juliá
3037,Richard Dreyfuss
4951,Robert Dalva
1032,Martin Scorsese
1150,Brian De Palma
64,Gary Oldman
1769,Sofia Coppola
205,Kirsten Dunst
4512,James Woods
55983,Jim Henson
7908,Frank Oz
1006721,Charles Scorsese
15175,William Friedkin
138,Quentin Tarantino
36594,Juno Temple
3084,Marlon Brando
3087,Robert Duvall
8349,Martin Sheen
13848,Charlie Chaplin
9261,Frank Abagnale Jr.
2227,Nicole Kidman
500,Tom Cruise
2297235,Antony Horder
491,John Williams
30807,Rudy Behlmer
670,Ben Burtt
2154,Scott Bakula
2152,Alan Ball
1306064,Princess Diana
174981,Prince Charles
4430,Sharon Stone
6449,Warren Beatty
3265,Eli Wallach
4078,Lee Van Cleef
14276,Gian Maria Volonté
74308,Christopher Carley
928572,Scott Eastwood
14701,Carroll Baker
14782,Andrew Robinson
147,Michael Madsen
3892,Johnny Mercer
19429,Bruce Lee
18897,Jackie Chan
15111,Jean-Claude Van Damme
9979,Peter Coyote
9789,Robert Altman
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
887,Owen Wilson
1204,Julia Roberts
60073,Brie Larson
11148,Joan Allen
1038,Jodie Foster
13,Albert Brooks
4513,Elizabeth McGovern
4517,Joe Pesci
14702,Cathy Moriarty
45001,Steve Allen
11477,Ray Liotta
73421,Joaquin Phoenix
1545693,Zazie Beetz
1158,Al Pacino
3092,Diane Keaton
1259,Ennio Morricone
19665,John Boorman
1208,Ralph Bellamy
11181,Kenneth Branagh
30140,Veronica Carlson
113,Christopher Lee
55949,Peter Atkins
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
138986,Tony Bennett
53397,Christina Aguilera
7904,Billy Crystal
7447,Alec Baldwin
85564,Andrea Bocelli
4038,Susan Sarandon
25626,Robert Ridgely
32396,Richard Belzer
10468,Marvin Hamlisch
1884,Steven Soderbergh
8891,John Travolta
139,Uma Thurman
37934,André Benjamin
15310,Anthony Kiedis
56323,Tina Fey
